t,theta
   0.0000000000000000      ,  0.14000000000000001     
   9.9999997764825821E-003 ,  0.13998604568915940     
   1.9999999552965164E-002 ,  0.13995814542641291     
   2.9999999329447746E-002 ,  0.13991630894747573     
   3.9999999105930328E-002 ,  0.13986054736320730     
   4.9999998882412910E-002 ,  0.13979087315784797     
   5.9999998658895493E-002 ,  0.13970730018712840     
   6.9999998435378075E-002 ,  0.13960984367625237     
   7.9999998211860657E-002 ,  0.13949852021775272     
   8.9999997988343239E-002 ,  0.13937334776922100     
   9.9999997764825821E-002 ,  0.13923434565091089     
  0.10999999754130840      ,  0.13908153454321556     
  0.11999999731779099      ,  0.13891493648401940     
  0.12999999709427357      ,  0.13873457486592417     
  0.13999999687075615      ,  0.13854047443334980     
  0.14999999664723873      ,  0.13833266127951030     
  0.15999999642372131      ,  0.13811116284326472     
  0.16999999620020390      ,  0.13787600790584373     
  0.17999999597668648      ,  0.13762722658745172     
  0.18999999575316906      ,  0.13736485034374513     
  0.19999999552965164      ,  0.13708891196218684     
  0.20999999530613422      ,  0.13679944555827714     
  0.21999999508261681      ,  0.13649648657166155     
  0.22999999485909939      ,  0.13618007176211577     
  0.23999999463558197      ,  0.13585023920540784     
  0.24999999441206455      ,  0.13550702828903818     
  0.25999999418854713      ,  0.13515047970785754     
  0.26999999396502972      ,  0.13478063545956326     
  0.27999999374151230      ,  0.13439753884007413     
  0.28999999351799488      ,  0.13400123443878420     
  0.29999999329447746      ,  0.13359176813369586     
  0.30999999307096004      ,  0.13316918708643258     
  0.31999999284744263      ,  0.13273353973713148     
  0.32999999262392521      ,  0.13228487579921638     
  0.33999999240040779      ,  0.13182324625405134     
  0.34999999217689037      ,  0.13134870334547533     
  0.35999999195337296      ,  0.13086130057421827     
  0.36999999172985554      ,  0.13036109269219884     
  0.37999999150633812      ,  0.12984813569670453     
  0.38999999128282070      ,  0.12932248682445413     
  0.39999999105930328      ,  0.12878420454554337     
  0.40999999083578587      ,  0.12823334855727384     
  0.41999999061226845      ,  0.12766997977786565     
  0.42999999038875103      ,  0.12709416034005455     
  0.43999999016523361      ,  0.12650595358457356     
  0.44999998994171619      ,  0.12590542405351982     
  0.45999998971819878      ,  0.12529263748360700     
  0.46999998949468136      ,  0.12466766079930379     
  0.47999998927116394      ,  0.12403056210585896     
  0.48999998904764652      ,  0.12338141068221342     
  0.49999998882412910      ,  0.12272027697379984     
  0.50999998860061169      ,  0.12204723258523026     
  0.51999998837709427      ,  0.12136235027287240     
  0.52999998815357685      ,  0.12066570393731489     
  0.53999998793005943      ,  0.11995736861572229     
  0.54999998770654202      ,  0.11923742047408016     
  0.55999998748302460      ,  0.11850593679933104     
  0.56999998725950718      ,  0.11776299599140160     
  0.57999998703598976      ,  0.11700867755512183     
  0.58999998681247234      ,  0.11624306209203672     
  0.59999998658895493      ,  0.11546623129211098     
  0.60999998636543751      ,  0.11467826792532759     
  0.61999998614192009      ,  0.11387925583318079     
  0.62999998591840267      ,  0.11306927992006389     
  0.63999998569488525      ,  0.11224842614455305     
  0.64999998547136784      ,  0.11141678151058713     
  0.65999998524785042      ,  0.11057443405854489     
  0.66999998502433300      ,  0.10972147285621964     
  0.67999998480081558      ,  0.10885798798969257     
  0.68999998457729816      ,  0.10798407055410515     
  0.69999998435378075      ,  0.10709981264433148     
  0.70999998413026333      ,  0.10620530734555129     
  0.71999998390674591      ,  0.10530064872372444     
  0.72999998368322849      ,  0.10438593181596750     
  0.73999998345971107      ,  0.10346125262083353     
  0.74999998323619366      ,  0.10252670808849547     
  0.75999998301267624      ,  0.10158239611083432     
  0.76999998278915882      ,  0.10062841551143269     
  0.77999998256564140      ,   9.9664866035474711E-002
  0.78999998234212399      ,   9.8691848339553134E-002
  0.79999998211860657      ,   9.7709463981384456E-002
  0.80999998189508915      ,   9.6717815409433000E-002
  0.81999998167157173      ,   9.5717005952444867E-002
  0.82999998144805431      ,   9.4707139808892657E-002
  0.83999998122453690      ,   9.3688322036331900E-002
  0.84999998100101948      ,   9.2660658540670141E-002
  0.85999998077750206      ,   9.1624256065349644E-002
  0.86999998055398464      ,   9.0579222180444743E-002
  0.87999998033046722      ,   8.9525665271674756E-002
  0.88999998010694981      ,   8.8463694529333489E-002
  0.89999997988343239      ,   8.7393419937136424E-002
  0.90999997965991497      ,   8.6314952260986538E-002
  0.91999997943639755      ,   8.5228403037659869E-002
  0.92999997921288013      ,   8.4133884563411837E-002
  0.93999997898936272      ,   8.3031509882505447E-002
  0.94999997876584530      ,   8.1921392775662488E-002
  0.95999997854232788      ,   8.0803647748438803E-002
  0.96999997831881046      ,   7.9678390019524731E-002
  0.97999997809529305      ,   7.8545735508971898E-002
  0.98999997787177563      ,   7.7405800826347571E-002
  0.99999997764825821      ,   7.6258703258817562E-002
   1.0099999774247408      ,   7.5104560759159125E-002
